pk_id;pk_debut;pk_fin;pk_autoroute;pk_voie;pk_sens;pk_type;pk_debut_zone;pk_fin_zone
1;115.6;121.000;a41;lente;sud;FLR;116;122.1
2;121.9;122.9;a41;lente;sud;FLR;122.1;124.8
3;124.6;126.8;a41;lente;sud;FLR;124.8;127.7
4;127.5;128.000;a41;lente;sud;FLR;127.7;129.1
5;128.9;null;a41;lente;sud;FLR;129.1;129.7
6;129.5;null;a41;lente;sud;FLR;129.7;130.8
7;130.6;131.000;a41;lente;sud;FLR;130.8;131.8
8;131.6;132.6;a41;lente;sud;FLR;131.8;135.5
9;135.3;null;a41;lente;sud;FLR;135.5;137.1
10;136.9;null;a41;lente;sud;FLR;137.1;137.8
11;137.6;139.3;a41;lente;sud;FLR;137.8;139,8
12;140.000;null;adelac;lente;sud;FLR;140.2;141.7
13;141.5;142.75;adelac;lente;sud;FLR;141.7;143.5
14;143.3;null;adelac;lente;sud;FLR;143.5;143.8
15;143.6;null;adelac;lente;sud;FLR;143.8;145.4
16;145.2;145.7;adelac;lente;sud;FLR;145.4;146.9
17;146.7;147.65;adelac;lente;sud;FLR;146.9;148.75
18;148.55;null;adelac;lente;sud;FLR;148.75;149.2
19;149.000;null;adelac;lente;sud;FLR;149.2;153.2
20;153.000;null;adelac;lente;sud;FLR;153.2;154
21;153.8;153.8;adelac;lente;sud;FLR;154;154.55
22;154.35;154.9;adelac;lente;sud;FLR;154.55;155.6
23;155.4;null;adelac;lente;sud;FLR;155.6;155.85
24;155.65;155.9;adelac;lente;sud;FLR;155.85;157.6
25;157.4;null;adelac;lente;sud;FLR;157.6;158.35
26;158.15;158.6;adelac;lente;sud;FLR;158.35;158.8
27;115.6;115.85;a41;rapide;sud;FLR;116;117.4
28;117.2;118.8;a41;rapide;sud;FLR;117.4;120
29;119.8;120.000;a41;rapide;sud;FLR;120;122.2
30;122.000;122.85;a41;rapide;sud;FLR;122.2;124.6
31;124.4;126.2;a41;rapide;sud;FLR;124.6;128
32;127.8;128.000;a41;rapide;sud;FLR;128;128.95
33;128.75;null;a41;rapide;sud;FLR;128.95;129.75
34;129.55;129.75;a41;rapide;sud;FLR;129.75;130.7
35;130.5;131.55;a41;rapide;sud;FLR;130.7;133.9
36;133.7;null;a41;rapide;sud;FLR;133.9;137
37;136.8;null;a41;rapide;sud;FLR;137;138.1
38;137.9;null;a41;rapide;sud;FLR;138.1;139,8
39;138.8;139.55;adelac;rapide;sud;FLR;139;139,8
40;140.2;null;adelac;rapide;sud;FLR;140.4;140.7
41;140.5;null;adelac;rapide;sud;FLR;140.7;141
42;140.8;null;adelac;rapide;sud;FLR;141;141.7
43;141.5;null;adelac;rapide;sud;FLR;141.7;145.1
44;144.9;null;adelac;rapide;sud;FLR;145.1;145.8
45;145.6;null;adelac;rapide;sud;FLR;145.8;146.1
46;145.9;146.6;adelac;rapide;sud;FLR;146.1;147.7
47;147.5;null;adelac;rapide;sud;FLR;147.7;148.5
48;148.3;149;adelac;rapide;sud;FLR;148.5;153.2
49;153;153.8;adelac;rapide;sud;FLR;153.2;154.4
50;154.2;154.5;adelac;rapide;sud;FLR;154.4;156
51;155.8;null;adelac;rapide;sud;FLR;156;157.4
52;157.2;157.6;adelac;rapide;sud;FLR;157.4;159
53;158.5;null;adelac;lente;nord;FLR;158.3;157.9
54;158.1;157.95;adelac;lente;nord;FLR;157.9;157.5
55;157.7;157.5;adelac;lente;nord;FLR;157.5;156.9
56;157.1;155.8;adelac;lente;nord;FLR;156.9;155.3
57;155.5;null;adelac;lente;nord;FLR;155.3;154.1
58;154.3;153.8;adelac;lente;nord;FLR;154.1;153.3
59;153.5;152.6;adelac;lente;nord;FLR;153.3;148.55
60;148.75;148.6;adelac;lente;nord;FLR;148.55;146.2
61;146.4;145.2;adelac;lente;nord;FLR;146.2;144.4
62;144.6;null;adelac;lente;nord;FLR;144.4;143.4
63;143.6;null;adelac;lente;nord;FLR;143.4;142
64;142.2;141.2;adelac;lente;nord;FLR;142;140.8
65;141;null;adelac;lente;nord;FLR;140.8;140.4
66;140.6;140;adelac;lente;nord;FLR;140.4;140
67;139.3;138.65;a41;lente;nord;FLR;139.1;137.45
68;137.65;null;a41;lente;nord;FLR;137.45;133.35
69;133.55;null;a41;lente;nord;FLR;133.35;131.2
70;131.4;130.3;a41;lente;nord;FLR;131.2;129.3
71;129.5;null;a41;lente;nord;FLR;129.3;128.4
72;128.6;127.35;a41;lente;nord;FLR;128.4;125.8
73;126;122.55;a41;lente;nord;FLR;125.8;119.6
74;119.8;119.55;a41;lente;nord;FLR;119.6;118.35
75;118.55;116.7;a41;lente;nord;FLR;118.35;116
76;158.8;158.5;adelac;rapide;nord;FLR;158.6;157.9
77;158.1;null;adelac;rapide;nord;FLR;157.9;157.4
78;157.6;157.1;adelac;rapide;nord;FLR;157.4;155.9
79;156.1;null;adelac;rapide;nord;FLR;155.9;155.3
80;155.5;null;adelac;rapide;nord;FLR;155.3;154
